feature,mean_importance
random_feature,-7.244621944229035e-05
DEPTH,0.0016431376568463497
U_WIND,0.007560894857305445
BUILT,0.008492771545895094
BREADTH,0.00963419402424195
FLAG,0.011385943977510759
LENGTH,0.031055590634591245
AIR_TEMPERATURE,0.0447116456421391
ARI_CO,0.04477459110505252
DEADWEIGHT,0.04576916768028534
GT,0.04729169037169776
year,0.06439656700798425
PORT_SIZE,0.06595771108330949
weekday,0.08555721809734618
SHIP_TYPE_CATEGORY,0.13496129918898245
DIST,0.7900384642606191
