feature,mean_importance
random_feature,0.00047115198467475585
DEPTH,0.005623095818577617
U_WIND,0.007113753493998542
BREADTH,0.008104539716453352
BUILT,0.009887656822994162
FLAG,0.010992901882392358
LENGTH,0.022222756045043424
GT,0.03792908626275791
ARI_CO,0.044339594897996645
DEADWEIGHT,0.0455671528559225
AIR_TEMPERATURE,0.0609083388537908
PORT_SIZE,0.06345655289571883
year,0.07910185393078598
weekday,0.08344812508696108
SHIP_TYPE_CATEGORY,0.13081796927759198
DIST,0.778171885408973
