feature,mean_importance
random_feature,-0.0008043937408700908
DRAUGHT,0.0015085100231267967
U_WIND,0.002482292638588657
DEPTH,0.0026079752878176874
AIR_TEMPERATURE,0.010910311947100482
BREADTH,0.01241216754583081
BUILT,0.023009441530592478
FLAG,0.024810004853950907
year,0.030197761144603506
ARI_CO,0.05763181002306892
LENGTH,0.0650152082909025
SHIP_TYPE_CATEGORY,0.06505331149994083
weekday,0.09509551994160075
PORT_SIZE,0.1437103508220234
GT,0.15442105798035005
DEADWEIGHT,0.19021994921941998
DIST,0.46165855848684983
