feature,mean_importance
DEPTH,0.0011953703711567564
random_feature,0.0014598225589877779
U_WIND,0.0022743670667228154
DRAUGHT,0.0026091202704858095
AIR_TEMPERATURE,0.008184122318975006
FLAG,0.013145810607416597
BREADTH,0.013811662373497912
BUILT,0.015581533177417062
year,0.023205080779826682
LENGTH,0.030681753063474714
ARI_CO,0.045791211361742155
SHIP_TYPE_CATEGORY,0.06084839711323846
weekday,0.08438760463438306
DEADWEIGHT,0.09760048971152761
GT,0.10469195695693223
PORT_SIZE,0.10565907699663893
DIST,0.4300136678209766
