feature,mean_importance
random_feature,0.0008459898040894976
DEPTH,0.0020493182409241804
DRAUGHT,0.0026160871579124834
U_WIND,0.004495107336511861
AIR_TEMPERATURE,0.008222573877758821
BREADTH,0.010423957010462837
FLAG,0.011881481037278197
BUILT,0.016526954666511995
year,0.021605406737957012
LENGTH,0.025496636168127897
ARI_CO,0.04321544687780328
SHIP_TYPE_CATEGORY,0.05786196402086852
weekday,0.07560063365445424
DEADWEIGHT,0.07790255195801946
GT,0.08506459157982504
PORT_SIZE,0.10182789550949205
DIST,0.39330353044586275
