feature,mean_importance
random_feature,0.0007492181654638275
DEPTH,0.0017409617389368749
DRAUGHT,0.0026691158557080375
U_WIND,0.005572974750916182
BREADTH,0.006930204737396495
AIR_TEMPERATURE,0.010230991452948613
FLAG,0.02070559840390256
BUILT,0.023065459032134417
year,0.030188579488377276
LENGTH,0.0414102285561422
ARI_CO,0.053864937775720635
SHIP_TYPE_CATEGORY,0.06187554960812267
weekday,0.08907548827064518
PORT_SIZE,0.11970570526723374
DEADWEIGHT,0.13334547723400483
GT,0.13556111173828533
DIST,0.4173306192954983
