feature,mean_importance
DEPTH,0.0014294910736811551
random_feature,0.0014782298837625828
DRAUGHT,0.002245448137911077
U_WIND,0.003758319353134909
AIR_TEMPERATURE,0.0066165619090320146
BREADTH,0.011494724553723157
BUILT,0.012739504838805815
FLAG,0.013905793197625905
year,0.026163546289214024
LENGTH,0.04645664135585805
ARI_CO,0.051716853622666245
SHIP_TYPE_CATEGORY,0.06161909657314109
weekday,0.081213484176367
DEADWEIGHT,0.1023233270920052
GT,0.11119735938091246
PORT_SIZE,0.11822171340854362
DIST,0.4544312385498987
