feature,mean_importance
random_feature,-0.0016611584571840198
DRAUGHT,0.0016127415345011942
DEPTH,0.0019715703688545803
U_WIND,0.003585341320358637
AIR_TEMPERATURE,0.005763391932562678
BREADTH,0.011926720346170438
FLAG,0.013967623211397284
BUILT,0.018516889141343817
year,0.018786355421024248
LENGTH,0.023686762428532293
ARI_CO,0.04815799572560571
SHIP_TYPE_CATEGORY,0.0592340256252742
weekday,0.07375522606172277
GT,0.0859387961349563
DEADWEIGHT,0.09039618746703851
PORT_SIZE,0.11234865531668892
DIST,0.4025114139455379
