feature,mean_importance
random_feature,0.00039191852990034804
DEPTH,0.0015745048594528078
DRAUGHT,0.0021670897306820926
AIR_TEMPERATURE,0.004361244178247836
U_WIND,0.0050621912468363115
BREADTH,0.007222881922612334
BUILT,0.012185308636187808
FLAG,0.01378132526259419
year,0.03943468664666279
LENGTH,0.0404820001553734
ARI_CO,0.04449046676563602
SHIP_TYPE_CATEGORY,0.061165915267306505
weekday,0.06766937081084087
GT,0.0821900976909831
DEADWEIGHT,0.09568661449976894
PORT_SIZE,0.1045661959770507
DIST,0.3862423202192725
