feature,mean_importance
random_feature,0.0014283794856656095
U_WIND,0.0023506566728372035
DEPTH,0.0025892327168600903
DRAUGHT,0.0036769812092017464
AIR_TEMPERATURE,0.006291613964207921
BREADTH,0.01253518449911326
FLAG,0.015495222333904279
BUILT,0.01572702564250501
year,0.022427620682480654
LENGTH,0.034790472287999384
ARI_CO,0.04895946310221384
SHIP_TYPE_CATEGORY,0.06321193881167715
weekday,0.08288071801527916
GT,0.11274065912210214
PORT_SIZE,0.11313312834004216
DEADWEIGHT,0.13623603401386272
DIST,0.40820058595109304
