feature,mean_importance
random_feature,-0.0009670692135540949
DRAUGHT,0.0018417992850319864
DEPTH,0.0021830638406877155
U_WIND,0.005840047805214965
AIR_TEMPERATURE,0.007870617329231621
FLAG,0.012714469498984781
BUILT,0.015418387125357636
BREADTH,0.01697593612303776
year,0.0297947173140795
ARI_CO,0.04578125650037919
LENGTH,0.05436610014727372
SHIP_TYPE_CATEGORY,0.057635497846178496
weekday,0.08453822462771013
PORT_SIZE,0.10458072908532559
GT,0.1260827248299611
DEADWEIGHT,0.12619214362613926
DIST,0.40733001364154253
