name,model_type,metric_type,metric_value,train_time
89_NeuralNetwork,Neural Network,mae,62.35769751223965,470.99
90_NeuralNetwork_SelectedFeatures,Neural Network,mae,59.640506451058094,793.97
77_CatBoost_BoostOnErrors,CatBoost,mae,45.95973900003118,578.19
Ensemble,Ensemble,mae,45.59556559652061,79.13
77_CatBoost_Stacked,CatBoost,mae,45.813480073523515,151.27
81_LightGBM_Stacked,LightGBM,mae,52.054220193453816,26.94
83_Xgboost_Stacked,Xgboost,mae,51.96680859189579,48.48
66_RandomForest_Stacked,Random Forest,mae,52.03811841754448,355.42
44_NeuralNetwork_SelectedFeatures_Stacked,Neural Network,mae,53.96211243655166,71.81
74_CatBoost_GoldenFeatures_Stacked,CatBoost,mae,45.71634304464684,283.6
54_LightGBM_Stacked,LightGBM,mae,51.878386447885156,28.21
85_Xgboost_Stacked,Xgboost,mae,52.15745461422941,34.25
67_RandomForest_Stacked,Random Forest,mae,52.03814993766122,515.4
90_NeuralNetwork_SelectedFeatures_Stacked,Neural Network,mae,67.20096255097448,118.46
26_CatBoost_GoldenFeatures_Stacked,CatBoost,mae,45.74948644306345,294.39
56_LightGBM_Stacked,LightGBM,mae,52.01303559927793,24.57
61_Xgboost_Stacked,Xgboost,mae,51.99886131308778,38.41
39_RandomForest_Stacked,Random Forest,mae,52.06322254525583,654.33
71_NeuralNetwork_Stacked,Neural Network,mae,56.32857930947556,96.93
75_CatBoost_GoldenFeatures_Stacked,CatBoost,mae,45.70746534875049,174.35
79_LightGBM_Stacked,LightGBM,mae,51.845829020500354,26.83
84_Xgboost_Stacked,Xgboost,mae,52.000857377825476,33.96
34_RandomForest_Stacked,Random Forest,mae,52.04051219664931,462.22
68_NeuralNetwork_SelectedFeatures_Stacked,Neural Network,mae,55.435127436673106,110.69
51_CatBoost_GoldenFeatures_Stacked,CatBoost,mae,45.64390969596993,175.43
21_LightGBM_Stacked,LightGBM,mae,51.90420622104244,21.69
63_Xgboost_Stacked,Xgboost,mae,52.29402699430486,28.72
88_RandomForest_Stacked,Random Forest,mae,52.03667563807534,449.71
89_NeuralNetwork_Stacked,Neural Network,mae,59.14007031295402,163.3
73_CatBoost_GoldenFeatures_Stacked,CatBoost,mae,45.71293021272034,287.48
22_LightGBM_Stacked,LightGBM,mae,52.09958831874505,19.72
8_Xgboost_Stacked,Xgboost,mae,52.07043527419078,56.51
87_RandomForest_Stacked,Random Forest,mae,52.03203674825267,396.66
44_NeuralNetwork_Stacked,Neural Network,mae,54.8098200568211,72.77
76_CatBoost_GoldenFeatures_Stacked,CatBoost,mae,45.816717484714374,153.85
80_LightGBM_Stacked,LightGBM,mae,51.962737443860064,24.09
2_Default_Xgboost_Stacked,Xgboost,mae,51.963977244839924,37.8
65_RandomForest_Stacked,Random Forest,mae,52.05732928193685,743.42
72_NeuralNetwork_Stacked,Neural Network,mae,60.921138681520766,89.86
52_CatBoost_Stacked,CatBoost,mae,45.76967486095196,151.15
82_LightGBM_Stacked,LightGBM,mae,51.877143465765855,21.33
12_Xgboost_Stacked,Xgboost,mae,52.20433546511119,29.65
64_RandomForest_Stacked,Random Forest,mae,52.056453471244374,972.08
45_NeuralNetwork_Stacked,Neural Network,mae,59.11768248750898,63.94
26_CatBoost_Stacked,CatBoost,mae,45.83746107127082,238.97
55_LightGBM_Stacked,LightGBM,mae,52.09637315651237,18.89
59_Xgboost_Stacked,Xgboost,mae,51.91443194153394,52.2
39_RandomForest_SelectedFeatures_Stacked,Random Forest,mae,52.05070070970809,562.58
4_Default_NeuralNetwork_Stacked,Neural Network,mae,63.99253329123239,79.87
18_LightGBM_Stacked,LightGBM,mae,51.97078930052096,24.41
86_Xgboost_Stacked,Xgboost,mae,52.04958662058199,45.76
69_RandomForest_SelectedFeatures_Stacked,Random Forest,mae,52.051057180233386,573.17
47_NeuralNetwork_Stacked,Neural Network,mae,71.13406730045999,135.29
Ensemble_Stacked,Ensemble,mae,45.36689105784121,166.78
