Learner 1,Learner 2,Learner 3,Learner 4,Learner 5,Learner 6,Learner 7,Learner 8,Learner 9,Learner 10,counter
0.3933035304458627,0.4073300136415425,0.4544312385498987,0.3982787865417577,0.4616585584868498,0.4025114139455379,0.4300136678209766,0.4173306192954983,0.3862423202192725,0.408200585951093,0
0.0779025519580194,0.1261921436261392,0.1023233270920052,0.1104071879768221,0.1902199492194199,0.0903961874670385,0.0976004897115276,0.1333454772340048,0.0956866144997689,0.1362360340138627,0
0.101827895509492,0.1045807290853255,0.1182217134085436,0.1167382001888301,0.1437103508220234,0.1123486553166889,0.1056590769966389,0.1197057052672337,0.1045661959770507,0.1131331283400421,0
0.085064591579825,0.1260827248299611,0.1111973593809124,0.0800552776507245,0.15442105798035,0.0859387961349563,0.1046919569569322,0.1355611117382853,0.0821900976909831,0.1127406591221021,0
0.0756006336544542,0.0845382246277101,0.081213484176367,0.0875748111428136,0.0950955199416007,0.0737552260617227,0.084387604634383,0.0890754882706451,0.0676693708108408,0.0828807180152791,0
0.0578619640208685,0.0576354978461784,0.061619096573141,0.0568079788955604,0.0650533114999408,0.0592340256252742,0.0608483971132384,0.0618755496081226,0.0611659152673065,0.0632119388116771,0
0.0432154468778032,0.0457812565003791,0.0517168536226662,0.0548114973315409,0.0576318100230689,0.0481579957256057,0.0457912113617421,0.0538649377757206,0.044490466765636,0.0489594631022138,0
0.0254966361681278,0.0543661001472737,0.046456641355858,0.0311044168882765,0.0650152082909025,0.0236867624285322,0.0306817530634747,0.0414102285561422,0.0404820001553734,0.0347904722879993,0
0.021605406737957,0.0297947173140795,0.026163546289214,0.021034511346125,0.0301977611446035,0.0187863554210242,0.0232050807798266,0.0301885794883772,0.0394346866466627,0.0224276206824806,0
0.0165269546665119,0.0154183871253576,0.0127395048388058,0.0193833734681519,0.0230094415305924,0.0185168891413438,0.015581533177417,0.0230654590321344,0.0121853086361878,0.015727025642505,0
0.0118814810372781,0.0127144694989847,0.0139057931976259,0.0200924814523468,0.0248100048539509,0.0139676232113972,0.0131458106074165,0.0207055984039025,0.0137813252625941,0.0154952223339042,0
0.0104239570104628,0.0169759361230377,0.0114947245537231,0.010428715971078,0.0124121675458308,0.0119267203461704,0.0138116623734979,0.0069302047373964,0.0072228819226123,0.0125351844991132,0
0.0082225738777588,0.0078706173292316,0.006616561909032,0.0075098092163202,0.0109103119471004,0.0057633919325626,0.008184122318975,0.0102309914529486,0.0043612441782478,0.0062916139642079,0
0.0044951073365118,0.0058400478052149,0.0037583193531349,0.0031318148311622,0.0024822926385886,0.0035853413203586,0.0022743670667228,0.0055729747509161,0.0050621912468363,0.0023506566728372,0
0.0026160871579124,0.0018417992850319,0.002245448137911,0.000926185953003,0.0015085100231267,0.0016127415345011,0.0026091202704858,0.002669115855708,0.002167089730682,0.0036769812092017,0
0.0020493182409241,0.0021830638406877,0.0014294910736811,0.0021988486770307,0.0026079752878176,0.0019715703688545,0.0011953703711567,0.0017409617389368,0.0015745048594528,0.00258923271686,2
0.0008459898040894,-0.000967069213554,0.0014782298837625,0.0006648716260273,-0.00080439374087,-0.001661158457184,0.0014598225589877,0.0007492181654638,0.0003919185299003,0.0014283794856656,10
