name,model_type,metric_type,metric_value,train_time
1_Default_LightGBM,LightGBM,r2,0.28829107029060164,59.55
2_Default_Xgboost,Xgboost,r2,0.2790214936103369,57.0
3_Default_CatBoost,CatBoost,r2,0.2778970076206234,70.37
4_Default_RandomForest,Random Forest,r2,0.13478955014725003,67.8
14_LightGBM,LightGBM,r2,0.2903448192244993,54.08
5_Xgboost,Xgboost,r2,0.28473455785677104,45.35
23_CatBoost,CatBoost,r2,0.28542354409282766,117.15
32_RandomForest,Random Forest,r2,0.13019807805986472,62.05
15_LightGBM,LightGBM,r2,0.27757603001533127,62.93
6_Xgboost,Xgboost,r2,0.27442692184743367,39.8
24_CatBoost,CatBoost,r2,0.2794563031911098,62.63
33_RandomForest,Random Forest,r2,0.17775405473618933,85.09
16_LightGBM,LightGBM,r2,0.28829593220077643,89.38
7_Xgboost,Xgboost,r2,0.29195784479725884,64.59
25_CatBoost,CatBoost,r2,0.0768543021021254,1089.38
34_RandomForest,Random Forest,r2,0.11563911527717508,51.48
17_LightGBM,LightGBM,r2,0.2917654767788298,73.46
8_Xgboost,Xgboost,r2,0.2678640801936151,91.97
26_CatBoost,CatBoost,r2,0.06737314067538891,555.29
35_RandomForest,Random Forest,r2,0.13390470282064604,59.98
18_LightGBM,LightGBM,r2,0.28215541416137524,34.63
9_Xgboost,Xgboost,r2,0.27278059901718976,100.98
27_CatBoost,CatBoost,r2,0.28108059349106573,366.58
36_RandomForest,Random Forest,r2,0.11484736663449002,65.35
19_LightGBM,LightGBM,r2,0.2878341733423426,44.07
10_Xgboost,Xgboost,r2,0.27482469221693984,71.37
28_CatBoost,CatBoost,r2,0.07568173717299331,630.19
37_RandomForest,Random Forest,r2,0.1338895503685471,68.97
20_LightGBM,LightGBM,r2,0.2896975081159818,41.12
11_Xgboost,Xgboost,r2,0.2775980710601448,35.29
29_CatBoost,CatBoost,r2,0.09573093683274803,269.51
38_RandomForest,Random Forest,r2,0.17633893860754024,99.62
21_LightGBM,LightGBM,r2,0.28397264589057525,33.31
