,연번,시도,시군구,읍면동,화재발생(년),화재발생(월),화재발생(일),화재발생(시),화재발생(분),요일,인명피해(명)소계,사망,부상,재산피해소계,화재유형,발화요인대분류,발화요인소분류,최초착화물대분류,최초착화물소분류,발화관련기기대분류,발화관련기기소분류,장소대분류,장소중분류,장소소분류,차량장소
6,7,서울특별시,도봉구,창동,2022,1,1,0,20,토,0,0,0,131,기타(쓰레기 화재등),부주의,담배꽁초,쓰레기류,재활용,,,기타,야외,공터,
14,15,서울특별시,강동구,고덕동,2022,1,1,1,0,토,0,0,0,248,"건축,구조물",전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,계절용 기기,열선,"판매,업무시설",일반업무,일반빌딩,
30,31,서울특별시,노원구,공릉동,2022,1,1,5,27,토,0,0,0,1727,"건축,구조물",부주의,담배꽁초,"침구,직물류","이불(베개,시트)",,,"판매,업무시설",숙박시설,모텔,
37,38,서울특별시,종로구,평창동,2022,1,1,7,24,토,0,0,0,268,"건축,구조물",미상,미상,"종이,목재,건초등","목재, 합판",,,주거,단독주택,단독주택,
39,40,서울특별시,강남구,역삼동,2022,1,1,7,40,토,0,0,0,184,"건축,구조물",부주의,"불씨,불꽃,화원방치","침구,직물류","기타(침구,직물류)",,,주거,공동주택,주상복합아파트,
44,45,서울특별시,서대문구,연희동,2022,1,1,8,6,토,0,0,0,24750,"자동차,철도차량",미상,미상,미상,미상,,,"자동차,철도차량",자동차,승용자동차,일반도로
54,55,서울특별시,중랑구,상봉동,2022,1,1,9,16,토,2,0,2,12448,"건축,구조물",미상,미상,미상,미상,,,"판매,업무시설",숙박시설,모텔,
64,65,서울특별시,은평구,불광동,2022,1,1,10,12,토,0,0,0,485,"건축,구조물",기계적 요인,자동제어 실패,"전기,전자",전자기기 부속품,계절용 기기,전기히터/스토브,"의료,복지시설",의료시설,병원,
68,69,서울특별시,광진구,자양동,2022,1,1,10,35,토,0,0,0,11,"건축,구조물",부주의,음식물 조리중,식품,음식물,,,주거,공동주택,다세대주택,
69,70,서울특별시,양천구,신정동,2022,1,1,10,43,토,0,0,0,22,"건축,구조물",부주의,담배꽁초,기타,기타,,,주거,공동주택,아파트,
70,71,서울특별시,강서구,등촌동,2022,1,1,10,51,토,0,0,0,214,"건축,구조물",부주의,"불씨,불꽃,화원방치",합성수지,"플라스틱, PVC, 비닐, 장판",,,주거,공동주택,다세대주택,
83,84,서울특별시,강북구,번동,2022,1,1,12,15,토,2,0,2,18352,"건축,구조물",미상,미상,미상,미상,,,주거,공동주택,기타 공동주택,
87,88,서울특별시,마포구,망원동,2022,1,1,12,48,토,0,0,0,3037,"건축,구조물",부주의,가연물 근접방치,"종이,목재,건초등",종이,,,생활서비스,음식점,기타 음식점,
105,106,서울특별시,성북구,종암동,2022,1,1,15,9,토,0,0,0,56,"건축,구조물",부주의,"불씨,불꽃,화원방치","전기,전자","전기, 전자기기 케이스",,,주거,단독주택,기타 단독주택,
111,112,서울특별시,용산구,청파동1가,2022,1,1,15,45,토,0,0,0,973,"건축,구조물",전기적 요인,과부하/과전류,"전기,전자",전선피복,계절용 기기,열선,주거,단독주택,단독주택,
142,143,서울특별시,동대문구,장안동,2022,1,1,20,39,토,0,0,0,55,"건축,구조물",부주의,담배꽁초,합성수지,"플라스틱, PVC, 비닐, 장판",,,주거,공동주택,다세대주택,
143,144,서울특별시,마포구,상암동,2022,1,1,20,40,토,0,0,0,2237,"건축,구조물",전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,,,기타서비스,기타건축물,공중화장실,
146,147,서울특별시,노원구,상계동,2022,1,1,21,15,토,0,0,0,462,"자동차,철도차량",전기적 요인,반단선,합성수지,"플라스틱, PVC, 비닐, 장판","차량, 선박부품",배선,"자동차,철도차량",자동차,승용자동차,일반도로
156,157,서울특별시,강남구,논현동,2022,1,2,1,11,일,0,0,0,268,"건축,구조물",부주의,담배꽁초,쓰레기류,재활용,,,주거,공동주택,다세대주택,
169,170,서울특별시,성동구,성수동1가,2022,1,2,6,9,일,0,0,0,1,"건축,구조물",부주의,음식물 조리중,식품,음식물,,,주거,공동주택,다세대주택,
177,178,서울특별시,서대문구,홍은동,2022,1,2,9,27,일,0,0,0,256,"건축,구조물",전기적 요인,미확인단락,"종이,목재,건초등","목재, 합판",,,주거,단독주택,단독주택,
178,179,서울특별시,도봉구,도봉동,2022,1,2,9,44,일,0,0,0,61,기타(쓰레기 화재등),부주의,쓰레기 소각,쓰레기류,재활용,,,기타,야외,쓰레기,
181,182,서울특별시,동작구,사당동,2022,1,2,10,2,일,0,0,0,14,"건축,구조물",부주의,음식물 조리중,식품,음식물,,,주거,단독주택,다가구주택,
188,189,서울특별시,송파구,방이동,2022,1,2,11,6,일,0,0,0,74,"건축,구조물",부주의,가연물 근접방치,"종이,목재,건초등","기타(종이,목재,건초등)",,,주거,공동주택,다세대주택,
221,222,서울특별시,동작구,흑석동,2022,1,2,15,49,일,0,0,0,1909,"건축,구조물",미상,미상,미상,미상,,,주거,공동주택,아파트,
247,248,서울특별시,중구,을지로6가,2022,1,2,19,59,일,0,0,0,973,"건축,구조물",부주의,"불씨,불꽃,화원방치",식품,기타(식품),,,생활서비스,음식점,한식,
254,255,서울특별시,서초구,반포동,2022,1,2,20,37,일,0,0,0,106,기타(쓰레기 화재등),부주의,담배꽁초,합성수지,"플라스틱, PVC, 비닐, 장판",,,기타,야외,쓰레기,
258,259,서울특별시,중구,을지로7가,2022,1,2,22,6,일,0,0,0,49,"건축,구조물",전기적 요인,절연열화에 의한 단락,"전기,전자","전기, 전자기기 기판",계절용 기기,전기히터/스토브,"판매,업무시설",판매시설,쇼핑센터,
261,262,서울특별시,성동구,옥수동,2022,1,2,22,52,일,0,0,0,11,"건축,구조물",부주의,음식물 조리중,식품,음식물,,,주거,공동주택,아파트,
273,274,서울특별시,영등포구,당산동6가,2022,1,3,3,22,월,0,0,0,41,"건축,구조물",부주의,음식물 조리중,식품,음식물,,,생활서비스,음식점,한식,
288,289,서울특별시,은평구,불광동,2022,1,3,7,37,월,0,0,0,50,"건축,구조물",전기적 요인,트래킹에 의한 단락,합성수지,기타(합성수지),,,"판매,업무시설",판매시설,상가빌딩,
293,294,서울특별시,도봉구,쌍문동,2022,1,3,8,42,월,0,0,0,211,"건축,구조물",부주의,"불씨,불꽃,화원방치","침구,직물류","기타(침구,직물류)",,,주거,공동주택,아파트,
301,302,서울특별시,광진구,중곡동,2022,1,3,10,19,월,0,0,0,494,"건축,구조물",전기적 요인,절연열화에 의한 단락,"전기,전자","작동장치(모터, 히터, 램프 등)",,,"판매,업무시설",판매시설,상점가,
311,312,서울특별시,송파구,방이동,2022,1,3,12,15,월,0,0,0,468,"건축,구조물",부주의,가연물 근접방치,"종이,목재,건초등",종이,,,"판매,업무시설",일반업무,오피스텔,
329,330,서울특별시,은평구,응암동,2022,1,3,14,6,월,1,0,1,0,"건축,구조물",부주의,"기기(전기, 기계 등) 사용.설치부주의","전기,전자",전선피복,,,생활서비스,음식점,호프집,
348,349,서울특별시,관악구,봉천동,2022,1,3,16,3,월,0,0,0,101,"건축,구조물",부주의,음식물 조리중,식품,음식물,주방기기,전기레인지,주거,공동주택,연립주택,
363,364,서울특별시,관악구,신림동,2022,1,3,17,52,월,1,0,1,1494,"건축,구조물",부주의,음식물 조리중,식품,튀김유,,,주거,공동주택,다세대주택,
367,368,서울특별시,종로구,신문로2가,2022,1,3,18,22,월,0,0,0,52,"건축,구조물",미상,미상,미상,미상,,,주거,단독주택,다가구주택,
370,371,서울특별시,중랑구,망우동,2022,1,3,18,44,월,0,0,0,2013,"자동차,철도차량",방화의심,방화의심,미상,미상,,,"자동차,철도차량",자동차,승용자동차,기타 도로
379,380,서울특별시,송파구,오금동,2022,1,3,20,2,월,0,0,0,182050,"건축,구조물",가스누출(폭발),가스누출(폭발),가연성가스,천연가스,상업장비,가스온수기,주거,단독주택,상가주택(주택부분에서 화재가 발생한 경우에만 해당),
384,385,서울특별시,동대문구,답십리동,2022,1,3,21,29,월,1,0,1,3359,"건축,구조물",미상,미상,기타,기타,,,주거,단독주택,다가구주택,
386,387,서울특별시,마포구,염리동,2022,1,3,21,57,월,0,0,0,3415,"자동차,철도차량",미상,미상,미상,미상,,,"자동차,철도차량",자동차,승용자동차,일반도로
395,396,서울특별시,은평구,역촌동,2022,1,4,0,37,화,0,0,0,3245,"자동차,철도차량",전기적 요인,트래킹에 의한 단락,"자동차,철도차량,선박,항공기",부품,"차량, 선박부품",엔진본체,"자동차,철도차량",자동차,소형 승합차,주차장
398,399,서울특별시,관악구,봉천동,2022,1,4,1,43,화,0,0,0,3168,"자동차,철도차량",미상,미상,미상,미상,"차량, 선박부품",배선,"자동차,철도차량",건설기계,덤프트럭,공지
409,410,서울특별시,서초구,서초동,2022,1,4,8,32,화,0,0,0,2934,"건축,구조물",전기적 요인,"누전,지락","전기,전자",전선피복,,,"판매,업무시설",일반업무,일반빌딩,
412,413,서울특별시,강북구,수유동,2022,1,4,9,6,화,0,0,0,400,"건축,구조물",부주의,담배꽁초,쓰레기류,쓰레기,,,주거,단독주택,다가구주택,
423,424,서울특별시,서대문구,홍제동,2022,1,4,10,41,화,0,0,0,310,"건축,구조물",기타,기타,식품,튀김유,,,생활서비스,음식점,기타휴게음식점,
444,445,서울특별시,강남구,신사동,2022,1,4,12,44,화,0,0,0,2200,"건축,구조물",기계적 요인,자동제어 실패,식품,튀김유,주방기기,튀김기,생활서비스,음식점,"치킨,족발",
454,455,서울특별시,강남구,삼성동,2022,1,4,13,29,화,0,0,0,23,"건축,구조물",부주의,음식물 조리중,식품,음식물,주방기기,가스렌지,주거,공동주택,아파트,
455,456,서울특별시,용산구,한남동,2022,1,4,13,45,화,0,0,0,215,기타(쓰레기 화재등),부주의,담배꽁초,쓰레기류,쓰레기,,,기타,야외,쓰레기,
465,466,서울특별시,마포구,상수동,2022,1,4,16,1,화,0,0,0,511,"건축,구조물",부주의,담배꽁초,"종이,목재,건초등",종이,,,기타서비스,기타건축물,기타 건축물,
478,479,서울특별시,중구,필동2가,2022,1,4,17,44,화,0,0,0,5,기타(쓰레기 화재등),부주의,담배꽁초,쓰레기류,쓰레기,,,기타,야외,쓰레기,
479,480,서울특별시,도봉구,창동,2022,1,4,17,47,화,0,0,0,6,"건축,구조물",부주의,가연물 근접방치,합성수지,"플라스틱, PVC, 비닐, 장판",,,주거,단독주택,단독주택,
502,503,서울특별시,중랑구,상봉동,2022,1,4,21,9,화,0,0,0,52,"건축,구조물",부주의,"불씨,불꽃,화원방치",기타,기타,,,생활서비스,음식점,한식,
509,510,서울특별시,강동구,성내동,2022,1,4,22,19,화,0,0,0,110,기타(쓰레기 화재등),부주의,담배꽁초,"종이,목재,건초등",종이,,,기타,야외,공터,
519,520,서울특별시,성북구,정릉동,2022,1,5,0,25,수,0,0,0,24,기타(쓰레기 화재등),부주의,담배꽁초,"종이,목재,건초등",종이,,,기타,야외,쓰레기,
524,525,서울특별시,강서구,등촌동,2022,1,5,4,7,수,0,0,0,145,"건축,구조물",기계적 요인,"과열, 과부하",합성수지,"플라스틱, PVC, 비닐, 장판",,,생활서비스,음식점,횟집,
534,535,서울특별시,광진구,구의동,2022,1,5,8,24,수,0,0,0,24929,"건축,구조물",기계적 요인,"과열, 과부하",합성수지,"플라스틱, PVC, 비닐, 장판",계절용 기기,전기히터/스토브,산업시설,공장시설,방직공업,
537,538,서울특별시,노원구,중계동,2022,1,5,9,3,수,0,0,0,9,"건축,구조물",부주의,"기기(전기, 기계 등) 사용.설치부주의","전기,전자","전기, 전자기기 케이스",주방기기,전기레인지,주거,단독주택,다가구주택,
545,546,서울특별시,서초구,서초동,2022,1,5,10,26,수,0,0,0,460,"건축,구조물",부주의,"불씨,불꽃,화원방치",기타,기타,,,기타서비스,기타건축물,기타 건축물,
556,557,서울특별시,서대문구,홍은동,2022,1,5,11,34,수,0,0,0,329,"건축,구조물",전기적 요인,절연열화에 의한 단락,합성수지,발포폴리스티렌,계절용 기기,열선,기타서비스,기타건축물,공중화장실,
558,559,서울특별시,광진구,구의동,2022,1,5,11,51,수,0,0,0,11,"건축,구조물",부주의,음식물 조리중,식품,음식물,,,주거,단독주택,단독주택,
574,575,서울특별시,양천구,신월동,2022,1,5,13,51,수,0,0,0,15,"건축,구조물",부주의,음식물 조리중,식품,음식물,,,주거,공동주택,연립주택,
584,585,서울특별시,관악구,봉천동,2022,1,5,15,17,수,0,0,0,998,"건축,구조물",부주의,기타(부주의),합성수지,발포폴리스티렌,계절용 기기,전기패널,생활서비스,일상서비스,기타 일상서비스,
606,607,서울특별시,종로구,수송동,2022,1,5,18,30,수,1,0,1,1395,"건축,구조물",방화,방화,"침구,직물류","이불(베개,시트)",,,"판매,업무시설",숙박시설,호텔,
610,611,서울특별시,동작구,사당동,2022,1,5,19,18,수,0,0,0,76,"건축,구조물",전기적 요인,"압착,손상에 의한 단락",합성수지,"플라스틱, PVC, 비닐, 장판","조명, 간판",LED조명,주거,단독주택,다가구주택,
612,613,서울특별시,강남구,압구정동,2022,1,5,19,37,수,0,0,0,17325,"자동차,철도차량",전기적 요인,과부하/과전류,"전기,전자","전기, 전자기기 케이스",,,"자동차,철도차량",자동차,승용자동차,일반도로
614,615,서울특별시,동대문구,용두동,2022,1,5,19,48,수,1,0,1,1234,"건축,구조물",미상,미상,미상,미상,,,주거,단독주택,단독주택,
615,616,서울특별시,중구,정동,2022,1,5,19,57,수,1,1,0,0,기타(쓰레기 화재등),방화,방화,위험물등,시너,,,기타,야외,기타야외,
621,622,서울특별시,강북구,미아동,2022,1,5,21,4,수,0,0,0,68,"건축,구조물",전기적 요인,기타(전기적요인),기타,기타,기타,기타,주거,공동주택,아파트,
623,624,서울특별시,도봉구,방학동,2022,1,5,21,9,수,0,0,0,415,"건축,구조물",미상,미상,합성수지,"플라스틱, PVC, 비닐, 장판",,,생활서비스,음식점,중식,
639,640,서울특별시,서대문구,홍제동,2022,1,6,2,39,목,0,0,0,6,"건축,구조물",부주의,담배꽁초,"종이,목재,건초등","기타(종이,목재,건초등)",,,주거,공동주택,아파트,
640,641,서울특별시,서대문구,창천동,2022,1,6,2,41,목,0,0,0,75,"건축,구조물",부주의,"기기(전기, 기계 등) 사용.설치부주의","침구,직물류","기타(침구,직물류)",계절용 기기,전기장판/담요/방석류,"판매,업무시설",일반업무,오피스텔,
643,644,서울특별시,종로구,인의동,2022,1,6,2,46,목,0,0,0,784,"자동차,철도차량",미상,미상,미상,미상,,,"자동차,철도차량",자동차,특수자동차,일반도로
647,648,서울특별시,영등포구,영등포동,2022,1,6,4,15,목,1,0,1,113,"건축,구조물",미상,미상,"침구,직물류","이불(베개,시트)",,,기타서비스,기타건축물,공중화장실,
648,649,서울특별시,종로구,낙원동,2022,1,6,4,21,목,0,0,0,37,"건축,구조물",전기적 요인,트래킹에 의한 단락,"전기,전자","전기, 전자기기 기판",,,생활서비스,위락시설,유흥주점,
651,652,서울특별시,서대문구,홍제동,2022,1,6,6,9,목,0,0,0,6,기타(쓰레기 화재등),부주의,"기기(전기, 기계 등) 사용.설치부주의","침구,직물류","기타(침구,직물류)",,,기타,야외,기타야외,
686,687,서울특별시,강동구,상일동,2022,1,6,12,27,목,0,0,0,11,기타(쓰레기 화재등),부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",,,기타,야외,기타야외,
693,694,서울특별시,관악구,신림동,2022,1,6,13,21,목,0,0,0,423,"건축,구조물",부주의,음식물 조리중,식품,튀김유,주방기기,튀김기,생활서비스,음식점,"치킨,족발",
702,703,서울특별시,강동구,천호동,2022,1,6,13,55,목,0,0,0,77,"건축,구조물",전기적 요인,트래킹에 의한 단락,"전기,전자",전선피복,"조명, 간판",LED조명,주거,공동주택,다세대주택,
729,730,서울특별시,강동구,고덕동,2022,1,6,16,30,목,0,0,0,275,"건축,구조물",부주의,가연물 근접방치,기타,기타,,,주거,단독주택,다가구주택,
755,756,서울특별시,구로구,개봉동,2022,1,6,21,4,목,0,0,0,38,"건축,구조물",전기적 요인,절연열화에 의한 단락,"전기,전자","전기, 전자기기 내부배선",,,"판매,업무시설",판매시설,기타 판매시설,
760,761,서울특별시,성동구,용답동,2022,1,6,21,53,목,0,0,0,33,"건축,구조물",미상,미상,"전기,전자",전선피복,,,"판매,업무시설",판매시설,상가빌딩,
770,771,서울특별시,은평구,신사동,2022,1,6,23,24,목,0,0,0,14,"건축,구조물",부주의,음식물 조리중,식품,음식물,,,"판매,업무시설",일반업무,오피스텔,
777,778,서울특별시,도봉구,창동,2022,1,7,0,41,금,0,0,0,15,"건축,구조물",부주의,음식물 조리중,식품,음식물,,,기타서비스,기타건축물,기타 건축물,
778,779,서울특별시,서대문구,홍은동,2022,1,7,0,47,금,0,0,0,2563,"건축,구조물",부주의,가연물 근접방치,"침구,직물류","기타(침구,직물류)",계절용 기기,전기히터/스토브,기타서비스,기타건축물,포장마차,
781,782,서울특별시,영등포구,도림동,2022,1,7,1,34,금,0,0,0,147,기타(쓰레기 화재등),미상,미상,미상,미상,,,기타,도로,기타도로,
790,791,서울특별시,광진구,구의동,2022,1,7,4,19,금,0,0,0,5,기타(쓰레기 화재등),부주의,담배꽁초,쓰레기류,쓰레기,,,기타,야외,쓰레기,
824,825,서울특별시,서초구,반포동,2022,1,7,10,55,금,0,0,0,27,"건축,구조물",부주의,"기기(전기, 기계 등) 사용.설치부주의","전기,전자","전기, 전자기기 케이스",계절용 기기,전기히터/스토브,생활서비스,음식점,한식,
828,829,서울특별시,서초구,우면동,2022,1,7,11,45,금,0,0,0,0,기타(쓰레기 화재등),부주의,담배꽁초,기타,기타,,,기타,야외,기타야외,
830,831,서울특별시,성동구,송정동,2022,1,7,12,51,금,0,0,0,369,기타(쓰레기 화재등),부주의,담배꽁초,쓰레기류,쓰레기,,,기타,야외,야적장,
847,848,서울특별시,서대문구,북가좌동,2022,1,7,14,48,금,0,0,0,22,기타(쓰레기 화재등),부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",,,기타,야외,쓰레기,
876,877,서울특별시,영등포구,당산동3가,2022,1,7,18,21,금,0,0,0,141,"건축,구조물",전기적 요인,절연열화에 의한 단락,합성수지,"플라스틱, PVC, 비닐, 장판",,,주거,공동주택,아파트,
881,882,서울특별시,중구,충무로1가,2022,1,7,19,5,금,0,0,0,9,기타(쓰레기 화재등),부주의,담배꽁초,쓰레기류,재활용,,,기타,야외,쓰레기,
883,884,서울특별시,금천구,독산동,2022,1,7,19,25,금,0,0,0,96,"건축,구조물",부주의,음식물 조리중,기타,기타,,,"판매,업무시설",판매시설,상가빌딩,
894,895,서울특별시,도봉구,쌍문동,2022,1,7,22,16,금,0,0,0,15,"건축,구조물",부주의,음식물 조리중,식품,음식물,,,주거,단독주택,다가구주택,
905,906,서울특별시,중구,다동,2022,1,7,23,51,금,0,0,0,9,"건축,구조물",부주의,음식물 조리중,식품,음식물,주방기기,가스렌지,생활서비스,음식점,한식,
909,910,서울특별시,은평구,불광동,2022,1,8,0,30,토,5,0,5,42325,"건축,구조물",미상,미상,미상,미상,미상,미상,주거,공동주택,다세대주택,
910,911,서울특별시,양천구,신월동,2022,1,8,0,46,토,0,0,0,8567,"건축,구조물",전기적 요인,미확인단락,"전기,전자",전선피복,배선/배선기구,콘센트,"판매,업무시설",판매시설,기타 판매시설,
919,920,서울특별시,광진구,군자동,2022,1,8,3,8,토,0,0,0,16,"건축,구조물",부주의,"불씨,불꽃,화원방치",기타,기타,,,주거,단독주택,다중주택,
925,926,서울특별시,강동구,길동,2022,1,8,5,33,토,0,0,0,1612,"건축,구조물",미상,미상,가구,소파,,,생활서비스,일상서비스,기타 일상서비스,
930,931,서울특별시,성동구,응봉동,2022,1,8,6,47,토,0,0,0,25,"건축,구조물",전기적 요인,접촉불량에 의한 단락,"전기,전자",전선피복,전기설비,배전반/분전반,주거,공동주택,다세대주택,
944,945,서울특별시,강북구,미아동,2022,1,8,11,34,토,0,0,0,55,"건축,구조물",전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,,,주거,단독주택,단독주택,
953,954,서울특별시,노원구,공릉동,2022,1,8,12,30,토,0,0,0,3112,"건축,구조물",제품결함,기타(제품결함),"전기,전자",전선피복,,,주거,공동주택,아파트,
957,958,서울특별시,은평구,수색동,2022,1,8,13,0,토,0,0,0,858,"건축,구조물",미상,미상,미상,미상,,,주거,단독주택,다가구주택,
985,986,서울특별시,강북구,미아동,2022,1,8,15,59,토,0,0,0,28,"건축,구조물",전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,,,주거,단독주택,단독주택,
990,991,서울특별시,강서구,염창동,2022,1,8,16,21,토,0,0,0,122,"건축,구조물",미상,미상,미상,미상,주방기기,냉장고,생활서비스,음식점,한식,
991,992,서울특별시,강남구,삼성동,2022,1,8,16,23,토,0,0,0,1574,"건축,구조물",전기적 요인,기타(전기적요인),"전기,전자","전기, 전자기기 케이스",전기설비,배전반/분전반,기타서비스,기타건축물,기타 건축물,
1018,1019,서울특별시,서대문구,홍은동,2022,1,8,18,38,토,0,0,0,160,"건축,구조물",부주의,담배꽁초,쓰레기류,쓰레기,,,"판매,업무시설",판매시설,상점가,
1064,1065,서울특별시,양천구,목동,2022,1,9,8,8,일,0,0,0,492,"건축,구조물",부주의,"기기(전기, 기계 등) 사용.설치부주의","침구,직물류",의류,,,주거,공동주택,아파트,
1072,1073,서울특별시,강북구,수유동,2022,1,9,10,20,일,0,0,0,25,"건축,구조물",전기적 요인,절연열화에 의한 단락,"전기,전자","콘센트, 스위치류",배선/배선기구,콘센트,"의료,복지시설",노유자시설,요양시설,
1078,1079,서울특별시,동작구,노량진동,2022,1,9,10,42,일,0,0,0,3388,"건축,구조물",전기적 요인,절연열화에 의한 단락,합성수지,"플라스틱, PVC, 비닐, 장판",,,생활서비스,일상서비스,고시원(원룸텔),
1094,1095,서울특별시,성북구,성북동1가,2022,1,9,13,3,일,0,0,0,32382,"건축,구조물",전기적 요인,접촉불량에 의한 단락,"전기,전자","콘센트, 스위치류",,,"판매,업무시설",공공기관,국가 및 지방자치단체 청사,
1095,1096,서울특별시,서대문구,남가좌동,2022,1,9,13,18,일,0,0,0,149,"건축,구조물",부주의,음식물 조리중,식품,음식물,,,주거,공동주택,아파트,
1101,1102,서울특별시,용산구,후암동,2022,1,9,14,23,일,0,0,0,330,"자동차,철도차량",미상,미상,합성수지,"플라스틱, PVC, 비닐, 장판","차량, 선박부품",소음기,"자동차,철도차량",자동차,승용자동차,일반도로
1125,1126,서울특별시,강서구,화곡동,2022,1,9,17,35,일,0,0,0,1745,"건축,구조물",부주의,가연물 근접방치,기타,기타,,,주거,공동주택,기타 공동주택,
1130,1131,서울특별시,용산구,원효로1가,2022,1,9,18,7,일,0,0,0,4,"건축,구조물",부주의,음식물 조리중,기타,기타,,,주거,공동주택,다세대주택,
1135,1136,서울특별시,강남구,논현동,2022,1,9,19,6,일,0,0,0,56,"건축,구조물",부주의,가연물 근접방치,"종이,목재,건초등","기타(종이,목재,건초등)",,,생활서비스,음식점,기타 음식점,
1138,1139,서울특별시,종로구,종로5가,2022,1,9,19,24,일,0,0,0,81,기타(쓰레기 화재등),부주의,"기기(전기, 기계 등) 사용.설치부주의","전기,전자","전기, 전자기기 케이스",,,기타,야외,기타야외,
1142,1143,서울특별시,서대문구,대현동,2022,1,9,20,48,일,0,0,0,0,기타(쓰레기 화재등),부주의,담배꽁초,쓰레기류,재활용,,,기타,야외,쓰레기,
1150,1151,서울특별시,서초구,잠원동,2022,1,10,0,8,월,0,0,0,110,"자동차,철도차량",기계적 요인,"과열, 과부하","자동차,철도차량,선박,항공기",오일류,"차량, 선박부품",차축베어링,"자동차,철도차량",자동차,화물자동차,일반도로
1154,1155,서울특별시,송파구,삼전동,2022,1,10,1,8,월,0,0,0,407,"건축,구조물",부주의,"기기(전기, 기계 등) 사용.설치부주의",가연성가스,부탄가스,,,주거,공동주택,다세대주택,
1156,1157,서울특별시,마포구,상수동,2022,1,10,1,39,월,1,0,1,7834,"건축,구조물",전기적 요인,미확인단락,"종이,목재,건초등",종이,생활기기,기타(생활기기),주거,단독주택,상가주택(주택부분에서 화재가 발생한 경우에만 해당),
1162,1163,서울특별시,강남구,역삼동,2022,1,10,4,11,월,0,0,0,4570,"건축,구조물",부주의,"불씨,불꽃,화원방치","종이,목재,건초등",나무,,,생활서비스,음식점,중식,
1180,1181,서울특별시,동대문구,제기동,2022,1,10,8,35,월,0,0,0,625,"건축,구조물",전기적 요인,반단선,"전기,전자",전선피복,계절용 기기,전기장판/담요/방석류,"판매,업무시설",숙박시설,모텔,
1190,1191,서울특별시,광진구,자양동,2022,1,10,10,20,월,0,0,0,514,"건축,구조물",전기적 요인,트래킹에 의한 단락,"전기,전자","전기, 전자기기 기판",주방기기,기타(주방기기),생활서비스,음식점,한식,
1193,1194,서울특별시,금천구,독산동,2022,1,10,10,46,월,0,0,0,151,"건축,구조물",부주의,"불씨,불꽃,화원방치",기타,기타,,,주거,공동주택,다세대주택,
1199,1200,서울특별시,광진구,광장동,2022,1,10,11,22,월,0,0,0,1421,"자동차,철도차량",부주의,담배꽁초,"종이,목재,건초등",종이,,,"자동차,철도차량",자동차,화물자동차,일반도로
1210,1211,서울특별시,은평구,갈현동,2022,1,10,12,42,월,0,0,0,3,"건축,구조물",부주의,담배꽁초,쓰레기류,쓰레기,,,주거,공동주택,다세대주택,
1218,1219,서울특별시,도봉구,쌍문동,2022,1,10,13,26,월,0,0,0,181,"건축,구조물",부주의,담배꽁초,"종이,목재,건초등","목재, 합판",,,생활서비스,음식점,"커피숍,다방,카페(휴게)",
1231,1232,서울특별시,도봉구,도봉동,2022,1,10,15,2,월,0,0,0,15,"건축,구조물",기타,기타,쓰레기류,재활용,,,산업시설,작업장,기타 작업장,
1235,1236,서울특별시,서대문구,충정로2가,2022,1,10,15,23,월,0,0,0,301,"건축,구조물",전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,,,"의료,복지시설",건강시설,"목욕장(사우나, 찜질방)",
1264,1265,서울특별시,강북구,번동,2022,1,10,17,45,월,0,0,0,7854,"건축,구조물",가스누출(폭발),가스누출(폭발),가연성가스,기타(가연성가스),계절용 기기,가정용 보일러,주거,공동주택,아파트,
1270,1271,서울특별시,강남구,논현동,2022,1,10,18,31,월,0,0,0,497,"건축,구조물",전기적 요인,층간단락,"전기,전자",전자기기 부속품,의료장비,의료용 전동의자,"의료,복지시설",의료시설,병원,
1286,1287,서울특별시,동대문구,제기동,2022,1,10,21,20,월,0,0,0,179,"건축,구조물",부주의,"불씨,불꽃,화원방치",합성수지,"플라스틱, PVC, 비닐, 장판",,,주거,기타주택,기타 주택,
1289,1290,서울특별시,광진구,광장동,2022,1,10,21,42,월,0,0,0,440,"자동차,철도차량",전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,,,"자동차,철도차량",자동차,소형 승합차,일반도로
1295,1296,서울특별시,강남구,역삼동,2022,1,10,23,30,월,0,0,0,19,기타(쓰레기 화재등),부주의,담배꽁초,쓰레기류,재활용,,,기타,야외,쓰레기,
1343,1344,서울특별시,중랑구,상봉동,2022,1,11,11,18,화,0,0,0,2519,"건축,구조물",부주의,담배꽁초,기타,기타,,,주거,공동주택,아파트,
1345,1346,서울특별시,관악구,신림동,2022,1,11,11,25,화,0,0,0,1221,"건축,구조물",전기적 요인,과부하/과전류,"전기,전자","전기, 전자기기 기판",,,교육시설,학교,대학교,
1370,1371,서울특별시,송파구,거여동,2022,1,11,14,32,화,1,0,1,4238,"건축,구조물",전기적 요인,과부하/과전류,"침구,직물류","이불(베개,시트)",생활기기,기타(생활기기),주거,공동주택,아파트,
